name_of_url,url,description
http://www.baidu.com/link?url=aCOSmfWL_t3YMOFkdA90MdK333PzJ96_adgRkNohx3qK5ACsTWp_wN0EKs2-ooooTW5fF1b8IfR_sjvyHkvr3q,court_百度翻译,"

                        
                                                
                    
                        
                            court
                                                    
                                                                                                                                                                                英
                                                                                                [kɔ:t]
                                                                                                
                                
                                                            
                                                    
                                                                                                                                                                美
                                                                                                [kɔ:rt]
                                                                                                
                                
                                                            
                        
                    
                
            
                                        
            
                                                n.
                                                
                    
                                                                                                                        宫廷;
                                                                                                                                                法院，法庭;
                                                                                                                                                院子，天井;
                                                                                                                                                网球场;
                                                                    
                
                            
        
                
            
                                                vt.
                                                
                    
                                                                                                                        招致;
                                                                                                                                                设法获得;
                                                                                                                                                向…献殷勤;
                                                                                                                                                追求;
                                                                    
                
                            
        
                
            
                                                vi.
                                                
                    
                                                                                                                        求爱，求婚;
                                                                                                                                                寻求;
                                                                    
                
                            
        
                                
            
                                
                
                    [其他]
                    
                        
                                                                                                                                            第三人称单数：courts
                                                                                    复数：courts
                                                                                    现在分词：courting
                                                                                    过去式：courted
                                                                                    过去分词：courted
                                                                                
                    
                
            
                                                
                
                                        牛津词典
                                                            柯林斯词典
                                                                                                                                                                                                                                                                                                                                                    同义词辨析
                                                                                                                                                                                                                                                        词语辨析
                                                                                                                                                                                                    双语例句
                                                            英英释义
                                                                            
            
                        进行更多翻译
                
        



ttp://www.baidu.com/link?url=8tjPVI6YSOYW17M3NQAuBqx4F7gdq9k4A-KrwrBIjQ-dThxFiQrrN0sieJK8SA1O,首页- 中华人民共和国最高人民法院,"最高人民法院政务网站,最高人民法院网,最高人民法院,最高人民法院网是人民群众了解和联系最高人民法院的重要...www.court.gov.cn/  - 百度快照"
http://www.baidu.com/link?url=kXLlG19zkezhIgH7_5Kd-Wkr6dlVLcFgd8OdXY4JLgs5mj3Ga7fTHwmpCQsDvQ2LkL56y_o-Db2y3QkUlHrfAK,court_百度百科,"
                        
            
                
                            
        
        
                                                                                                        
                    court是指法庭,法院;(开)庭。 英[kɔːt] 美[kɔːrt] n.法院；庭院；宫廷；球场；奉承v.献殷勤；追求；招致；设法获得   
                
                                           
                
                                                                                                                            详细释义
                                                                                                        释义例句
                                                                                                        双语例句
                                                        
                                                            baike.baidu.com/  
        
            
    "
http://www.baidu.com/link?url=7Gt6QEfkMe2ulTvJUwlXjgbMbE9te2HqnR4Mb3lpZzJBOIhC0Vg_ra2sfC-vE0q4,court是什么意思_court的翻译_音标_读音_用法_例句_爱词霸在线词典,court 英 [ kɔ:t ]      美 [ kɔ:rt ]   法院，法庭；  院子，天井；  宫廷；  网球场 招致；  设法获得；  向…献殷勤；  追求 求爱，求婚；  寻求  1. The Governmen...www.iciba.com/court/  - 百度快照
http://www.baidu.com/link?url=11cHns_m3PoEttKkOgHi3RbghHTgXXYbydfG4ru12kkRWqfkBB-14hB0MJHudIk5,Court - Wikipedia,"2013年6月24日 - A court  is a tribunal , often a governmental  institution , with the authority  to adjudicate  lega...EtymologyJurisdictionTrial and appellate courtshttps://en.wikipedia.org/wiki/...  - 百度快照 - 翻译此页"
http://www.baidu.com/link?url=MDmoVp0feG0MxXGmP9KFp3ZPXVV4_nq3SdQgIuWk1ufWX2IkqaheiycQuJOXIUs-,Court of Alameda - Superior Court of California 1," 07/03/2018 - The County of Alameda, Superior Court’s Fax Filing service will undergo routine maintenance Friday, July 6th, from 6:30am to 8:00am...www.alameda.courts.ca....  - 百度快照 - 翻译此页"
http://www.baidu.com/link?url=eSX-h1QxerM_XEYdZo_l8Q2ktckmqgoICZk-FU6N_HZ7Qzu5zBCy95OF2aCkyr-5,LA Court, The official language used for the content of the Los Angeles Superior Court public website is English. Google™ Translate is a free online language ...www.lacourt.org/  - 百度快照 - 翻译此页
http://www.baidu.com/link?url=w-r0FtqLWNbgEFUfaFic0jeqZwEpMr3k_y5HEb4G0Pq2fRNeAYb6-tMlRXCcMXUz,supreme court of singapore - Home,"The Supreme Court is made up of the Court of Appeal and the High Court, and hears both civil and criminal matterswww.supcourt.gov.sg/  - 百度快照 - 翻译此页"
http://www.baidu.com/link?url=xn-5n8KlUU4nJ52qv4xwNRfyaG0aVs8U-8IE1LcD0Q2o8Q-sc1NdC4evWu2GUF9K,香港司法机构 - Untitled Document,"This page cannot be viewed. You must enable JavaScript in your browser.  Please refer to "" Tech Note "" for details...www.judiciary.gov.hk/  - 百度快照 - 翻译此页"
http://www.baidu.com/link?url=gBMEuQSENg_VdiO4mRuFvWxxzFlji1YCdBwNdQQGfT_,iCourt - 让法律人与众不同," 作为一家与众不同的法学院,iCourt课程传递的不仅仅是知识,更是思维、技能与工具。在这里,刷新视界,重构...www.icourt.cc/  - 百度快照 - 评价"
name_of_url,url,description
