name_of_url,url,description
http://www.baidu.com/link?url=1IPQykFSdh0sngy5CMusvlM-4HM-9C4l8dUSQiH_Y3hl72CBR40QB2rCiDaJM20Pigu4hLiWKSG8AzXeSpHfYq,data_百度翻译,"

                        
                                                
                    
                        
                            data
                                                    
                                                                                                                                                                                英
                                                                                                [ˈdeɪtə]
                                                                                                
                                
                                                            
                                                    
                                                                                                                                                                美
                                                                                                [ˈdetə, ˈdætə, ˈdɑtə]
                                                                                                
                                
                                                            
                        
                    
                
            
                                                        
            
                                                n.
                                                
                    
                                                                                                                        资料，材料;
                                                                                                                                                datum的复数;
                                                                                                [计算机]                                                数据，资料;
                                                                                                                                                从科学实验中提取的价值;
                                                                    
                
                            
        
                                
            
                                
                
                    [其他]
                    
                        
                                                        原型：                                datum
                                                                                            
                                                                                                                                                                                                                                                                                    
                    
                
            
                                                
                
                                        牛津词典
                                                            柯林斯词典
                                                                                                                                                                                                                            双语例句
                                                            英英释义
                                                                            
            
                        进行更多翻译
                
        



http://www.baidu.com/link?url=0yIOc9veajgfUpsESK4AHQZLAw4gY1SEbeBoVkGs6FXYvMxq0bEnwucu-MO6WV0-mBQZGpx5rE00nY-ELth6Eq,jQuery 数据 - data() 方法,"$(""#btn1"").click(function(){ $(""div"").data(""greeting"", ""Hello World""); }); $(""#btn2"").click(function(){ alert($(""div"").data(""greeting...www.w3school.com.cn/jq...  - 百度快照"
http://www.baidu.com/link?url=dt6zON81zYltv7GYx7rE4IzczP6W4yaxTCYcZWdfTcK,u.s. government's open data site: data.gov,"Here you will find data, tools, and resources to conduct research, develop web and mobile applications, design data visualizations, and more.Get...https://www.data.gov/  - 百度快照 - 翻译此页"
http://www.baidu.com/link?url=ESOG8a7IVl34H5bvAuSnWqRgg5kZxsHDf6nPvdtPtTezoHZsVljNslDUy4GvPFJzUlMO3T8Lm93yW84a3jaVpa,HTML data-* 属性,所有主流浏览器都支持 data-* 属性。定义和用法 data-* 属性用于存储页面或应用程序的私有自定义数据。 data-* 属性赋予我们在所有 HTML 元素上嵌入自定义 data ...www.w3school.com.cn/ta...  - 百度快照
http://www.baidu.com/link?url=GvOi217FcIqK_rA58r1jt1ktVf_xiMNZ6I7GBC4H12me9Rpv4mVVMVz4AF6QHsG5chZ73-8IbOyPHBpsol9hUK,data_百度百科,"
                        
                                                                                                        
                    data是一个英文词语，意思是论据。   
                
                                           
                
                                                                                                                            发音
                                                                                                        释义
                                                                                                        短语
                                                                                                        例句
                                                        
                                                            baike.baidu.com/  
        
            
    "
http://www.baidu.com/link?url=1WgU3Q37R_ggUTMqPvmiHRk04JIWHoXyoHHDXu48R3Vr5e7r45zV383W8UQzIsZS,Data - Wikipedia,"For data in computer science, see Data (computing). For the journal, see Scientific data (journal). For other uses, see Data (disambiguation) and Dat...Meaning of data, information and knowledgeIn other fieldshttps://en.wikipedia.org/wiki/...  - 百度快照 - 翻译此页"
http://www.baidu.com/link?url=LhVmGqc2oY5po0jsq3rZju1biNn2Q4-n8z1MtNiQqXoa5dppUkkAvRMjpSY5f9qX,World Bank Open Data | Data,Free and open access to global development data Close Browse byCountryorIndicator MOST RECENT Data quality in research: what if we’re watering the garden...https://data.worldbank.org/  - 百度快照 - 翻译此页
http://www.baidu.com/link?url=221ZU1Qj3ieSPh9LAxB38dpmqhz6MmfgzIePlK3u1HEFHHkFCdVSYhhKLO8uQsVJCYYmVoO5oFdcG3oKMDH8pq,HTML data-* 属性 | 菜鸟教程,HTML data-* 属性 HTML 全局属性 实例 使用 data-* 属性来嵌入自定义数据: <ul><li data-animal-type='bird'>Owl</li><li ...www.runoob.com/tags/at...  - 百度快照
http://www.baidu.com/link?url=LYtWfKly9_3l8AOmaUvLoPak3VyTtfc1kzz-tLgCVZe,OECD Data,"Find, compare and share the latest OECD data: charts, maps, tables and related publicationshttps://data.oecd.org/  - 百度快照 - 翻译此页"
name_of_url,url,description
http://www.baidu.com/link?url=lZ82wbQ2IyPcy7YK-hOHimD0GM8iX4Yzia9Wfiwe-W4rc1JeVMRXQSUpRSpVL_Rc,TalkingData-移动.数据.价值,"TalkingData移动大数据服务平台;提供全面的产品统计分析服务、权威的移动行业数据解析,帮助你用数据说话。www.talkingdata.com/  - 百度快照 - 评价"
