name_of_url,url,description
http://www.baidu.com/link?url=VpfY3ZTYsTNe7QHvqvrOtQD_JdxWxBXoUQSu5CeexUPBzKwlFfnhcqcZmHl5LvUyO_fVLjW_lCryRj-R2ZIUOq,court_百度翻译,"

                        
                                                
                    
                        
                            court
                                                    
                                                                                                                                                                                英
                                                                                                [kɔ:t]
                                                                                                
                                
                                                            
                                                    
                                                                                                                                                                美
                                                                                                [kɔ:rt]
                                                                                                
                                
                                                            
                        
                    
                
            
                                        
            
                                                n.
                                                
                    
                                                                                                                        宫廷;
                                                                                                                                                法院，法庭;
                                                                                                                                                院子，天井;
                                                                                                                                                网球场;
                                                                    
                
                            
        
                
            
                                                vt.
                                                
                    
                                                                                                                        招致;
                                                                                                                                                设法获得;
                                                                                                                                                向…献殷勤;
                                                                                                                                                追求;
                                                                    
                
                            
        
                
            
                                                vi.
                                                
                    
                                                                                                                        求爱，求婚;
                                                                                                                                                寻求;
                                                                    
                
                            
        
                                
            
                                
                
                    [其他]
                    
                        
                                                                                                                                            第三人称单数：courts
                                                                                    复数：courts
                                                                                    现在分词：courting
                                                                                    过去式：courted
                                                                                    过去分词：courted
                                                                                
                    
                
            
                                                
                
                                        牛津词典
                                                            柯林斯词典
                                                                                                                                                                                                                                                                                                                                                    同义词辨析
                                                                                                                                                                                                                                                        词语辨析
                                                                                                                                                                                                    双语例句
                                                            英英释义
                                                                            
            
                        进行更多翻译
                
        



http://www.baidu.com/link?url=H7Jlvsd5OfkTMgLhVneYZtzdWjBJf5zPeel28Z43QQyemAIAfXfF661-c3J7kyPG,首页- 中华人民共和国最高人民法院,"最高人民法院政务网站,最高人民法院网,最高人民法院,最高人民法院网是人民群众了解和联系最高人民法院的重要...www.court.gov.cn/  - 百度快照"
http://www.baidu.com/link?url=2DBn7hpsGnTICBGmXXEYVqrNBJB19UX25zP-xNuKzXKlOQwlK9-udYIINdpJdE2g,Court - Wikipedia,"2013年6月24日 - A court  is a tribunal , often a governmental  institution , with the authority  to adjudicate  lega...EtymologyJurisdictionTrial and appellate courtshttps://en.wikipedia.org/wiki/...  - 百度快照 - 翻译此页"
http://www.baidu.com/link?url=AqvtYiHrojp6NLvBwYSX1ueZ8BTdlvsfx7cBGueWia3CDLwTt4-s_3XLBux5DoRI,court是什么意思_court的翻译_音标_读音_用法_例句_爱词霸在线词典,court 英 [ kɔ:t ]      美 [ kɔ:rt ]   法院，法庭；  院子，天井；  宫廷；  网球场 招致；  设法获得；  向…献殷勤；  追求 求爱，求婚；  寻求  1. The Governmen...www.iciba.com/court/  - 百度快照
http://www.baidu.com/link?url=wP9kGT0DV4G01heSV1p4MP5UFoVffYxukNuN3aiNO-u_Lf8t5eJYlZFCGTAFyT0Kei0Jt-dfr-pklBgGLJG3V_,court_百度百科,"
                        
            
                
                            
        
        
                                                                                                        
                    court是指法庭,法院;(开)庭。 英[kɔːt] 美[kɔːrt] n.法院；庭院；宫廷；球场；奉承v.献殷勤；追求；招致；设法获得   
                
                                           
                
                                                                                                                            详细释义
                                                                                                        释义例句
                                                                                                        双语例句
                                                        
                                                            baike.baidu.com/  
        
            
    "
http://www.baidu.com/link?url=K6rmzrzeVv14IQBhYB8ECqrFzBSSEe0Xqv1VS9_kRgG,iCourt - 让法律人与众不同," 作为一家与众不同的法学院,iCourt课程传递的不仅仅是知识,更是思维、技能与工具。在这里,刷新视界,重构...www.icourt.cc/  - 百度快照 - 评价"
http://www.baidu.com/link?url=q1tA5eIxCpyfQxjKQWLn2j6PXYIsPSJd2Iiq_SJHNssT8dYghiK81bzK9WmyyEZh,Home - Supreme Court of the United States, A federal court determining foreign law under Federal Rule of Civil Procedure 44.1 should accord respectful consideration to a foreign government’s ...www.supremecourt.gov/  - 百度快照 - 翻译此页
http://www.baidu.com/link?url=KDsKZo0Yij8Wk4BfUcaDLaLkLkOk5CrjJNrL4vQw55K1phhOwMnwq7VGORtg29SZ,United States Courts |,This national initiative brings students into federal courthouses for legal proceedings that stem from situations in which law-abiding young people can find ...www.uscourts.gov/  - 百度快照 - 翻译此页
http://www.baidu.com/link?url=i2GEQHlY4lC9Tbh_TgXaFLuBfRi6d_-bya-o4Q-u3RM5zxyTH9oG2oaE3vfVkBl1,中国法院网,"中国法院网是经最高人民法院批准成立,经国务院新闻办公室批准从事登载新闻业务的综合性新闻网站,并经国家广电总局批准自办视频播放业务。中国法院网是世界最大的法律...https://www.chinacourt.org/  - 百度快照 - 86%好评为您推荐：被执行人查询系统法院判决书查询中国裁判文书网"
http://www.baidu.com/link?url=MrlKNdEvxkhP16m-wBkSiJRH-n1jNB7toUg0qw8-oWG,court是什么意思_court在线翻译_英语_读音_用法_例句_海词词典,court 英 [kɔːt]      美 [kɔːrt]     n.法院；庭院；宫廷；球场；奉承v.献殷勤；追求；招致；设法获得 过去式:  courted    过去分词:  courted    现在分词:  cour...dict.cn/court  - 百度快照
http://www.baidu.com/link?url=r1l0P2uS3Q2bWkShqe5mf6H4FSWgqk7AiWbrHuSedv_WHHOhgvviMr0Bshf4-DFsvgZ8UhZrikxq1j_42Gis4q,data_百度翻译,"

                        
                                                
                    
                        
                            data
                                                    
                                                                                                                                                                                英
                                                                                                [ˈdeɪtə]
                                                                                                
                                
                                                            
                                                    
                                                                                                                                                                美
                                                                                                [ˈdetə, ˈdætə, ˈdɑtə]
                                                                                                
                                
                                                            
                        
                    
                
            
                                                        
            
                                                n.
                                                
                    
                                                                                                                        资料，材料;
                                                                                                                                                datum的复数;
                                                                                                [计算机]                                                数据，资料;
                                                                                                                                                从科学实验中提取的价值;
                                                                    
                
                            
        
                                
            
                                
                
                    [其他]
                    
                        
                                                        原型：                                datum
                                                                                            
                                                                                                                                                                                                                                                                                    
                    
                
            
                                                
                
                                        牛津词典
                                                            柯林斯词典
                                                                                                                                                                                                                            双语例句
                                                            英英释义
                                                                            
            
                        进行更多翻译
                
        



http://www.baidu.com/link?url=kx7-aGZawLW5a4sHWaALX7pObCNC4EUpc2FlItYXVWiMAxbCR9o9lxQ9Vv4lUAMKrLb6se7mpPMXSX58koMnoK,jQuery 数据 - data() 方法,"$(""#btn1"").click(function(){ $(""div"").data(""greeting"", ""Hello World""); }); $(""#btn2"").click(function(){ alert($(""div"").data(""greeting...www.w3school.com.cn/jq...  - 百度快照"
