url,country,Position,Leader
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Pres.,Ashraf GHANI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],CEO,"Abdullah ABDULLAH			, Dr."
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],First Vice Pres.,Abdul Rashid DOSTAM
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Second Vice Pres.,Sarwar DANESH
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],First Deputy CEO,Khyal Mohammad KHAN
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Second Deputy CEO,Mohammad MOHAQQEQ
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],"Min. of Agriculture, Irrigation, & Livestock",Nasir Ahmad DURRANI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Border & Tribal Affairs,Gul Agha SHERZAI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Commerce & Industry,Homayoun RASA
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Counternarcotics,Salamat AZIMI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Defense,Tariq Shah BAHRAMI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Economy,Mohammad Mustafa MASTOOR
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Education,Mohammad Ibrahim SHINWARI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Energy & Water,Ali Ahmad OSMANI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Finance,Eklil Ahmad HAKIMI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Foreign Affairs,Salahuddin RABBANI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Hajj & Islamic Affairs,Faiz Mohammad OSMANI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Higher Education,Najibullah Khwaja OMARI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Information & Culture,Mohammad Rasul BAWARI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Interior,Wais Ahmad BARMAK
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Justice,Abdul Basir ANWAR
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],"Min. of Martyred, Disabled, Labor, & Social Affairs",Faizullah ZAKI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Mines & Petroleum,
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Parliamentary Affairs,Faruq WARDAK
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Public Health,Ferozuddin FEROZ
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Public Works,Yama YARI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Refugees & Repatriation,Sayed Hussain Alemi BALKHI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Rural Rehabilitation & Development,Mujib Rahman KARIMI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Telecommunication & Information Technology,Shahzad Gul ARYUBI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Tourism,Ghulam Nabi FARAHI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Transportation & Civil Aviation,Mohammad Hamid TAHMASI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Urban Development,Sayed Sadat NADERI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Min. of Women's Affairs,Dilbar NAZARI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],Attorney General,Mohammad Farid HAMIDI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],National Security Adviser,Mohammad Hanif ATMAR
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],"Dir. Gen., National Directorate of Security",Mohammad Masoom STANEKZAI
https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,[u'Afghanistan'],"Dir. Gen., Independent Directorate for Local Governance",Abdul Matin BEK
