company_id,jobview_url,Position(Company),Description
729726676,https://www.linkedin.com/jobs/view/729726676/,KGS::MC::Consultant/AM::Sr. Java Developer,"Concepts including serverless/ cloud functions, experience in Dockers and containerized. Strong development experience on Spring Framework and Spring Boot. Experience In Elastic..."
829984548,https://www.linkedin.com/jobs/view/829984548/,GDC-Manager-Intelligent Automation RPA,"Strategic initiatives: Audit levelTechnical Skills&#x2014; Expertise and hands-on experience on various testing types, including unit, functional, regression, black box, integration, ..."
839699306,https://www.linkedin.com/jobs/view/839699306/,KGS Capability Hubs- Senior Analsyt- FA Outsourcing- Banaglore,"The candidate must have 1-3 years of relevant experience in a similar role, particularly in a leading outsourcing and consulting firms (e.g. Experience in doing data analysis, ..."
638203565,https://www.linkedin.com/jobs/view/638203565/,RPA - Technical Architect,"Experience in any of the following programming languages/softwares &#x2013; C/C++, Python, VB Script, Ruby, Java, JS, .Net. Experience with tools like NICE, Nuance, OCR tools, ..."
864683875,https://www.linkedin.com/jobs/view/864683875/,Associate Consultant | Sharepoint,"Experience in SharePoint Client Object Model, JavaScript and REST. Experience as a SharePoint Developer and delivery of web-based applications. 2-3 years of strong development ..."
739363102,https://www.linkedin.com/jobs/view/739363102/,KGS:: MC-Associate Consultant/Consultant/AM:: Appian Consultants,Hands on experience on BPMS implementations &#x2013;. Good to have experience in Web/Form design. Relevant Experience &#x2013; as a team lead/ senior developer/Developer. Experience in ...
634882252,https://www.linkedin.com/jobs/view/634882252/,KGS:: MC-Associate Consultant/Consultant:: Appian Developer,Hands on experience on BPMS implementations &#x2013;. Good to have experience in Web/Form design. 2 to 6 years of relevant Experience &#x2013; for Associate Consultant/Consultant. ...
728563513,https://www.linkedin.com/jobs/view/728563513/,KGS::MC::Consultant - Robotics Process Automation,Experience : 2 to 3 + yrs. Mso-fareast-font-family:&quot;Courier New&quot;&#x200b;;color:#1F497D&quot;&#x200b;&gt;o Added advantage: worked on Machine Language and API. Should have worked on Managed Services...
638204047,https://www.linkedin.com/jobs/view/638204047/,RPA Developer,"Experience in any of the following programming languages/softwares &#x2013; C/C++, Python, VB Script, Ruby, Java, JS, .Net. Experience with tools like NICE, Nuance, OCR tools, ..."
848970112,https://www.linkedin.com/jobs/view/848970112/,GDC | Senior Associate 1| MSBI | Generic| D&A,Audit D&amp;A Solution Delivery &#x2013; Be a part of the team that is responsible for Audit D&amp;A service delivery and ensure timely and quality audit deliverables. Develop a skillset to ...
844411234,https://www.linkedin.com/jobs/view/844411234/,GDC-Senior Associate-Alteryx-D&A Team,Audit D&amp;A Solution Delivery &#x2013; Be a part of the team that is responsible for Audit D&amp;A service delivery and ensure timely and quality audit deliverables. Hands on experience ...
841818505,https://www.linkedin.com/jobs/view/841818505/,GDC-Senior Associate 1 Oil & Gas,Audit D&amp;A Solution Delivery &#x2013; Be a part of the team that is responsible for Audit D&amp;A service delivery and ensure timely and quality audit deliverables. Hands on experience ...
816182491,https://www.linkedin.com/jobs/view/816182491/,Consultant/Senior Consultant - Servicenow,"We are looking to hire candidates with 3-10 Years ServiceNow Hands-on experience. ServiceNow Integration to various solutions (SaaS, External Apps) using REST API/ webservice / ..."
634882179,https://www.linkedin.com/jobs/view/634882179/,Assistant Manager/Consultant/ Associate Consultant – ERP Audits,Ideal candidate will have experience of executing large integrated ERP Audit engagements covering Business Process and General IT controls. KPMG India is currently seeking ...
663375886,https://www.linkedin.com/jobs/view/663375886/,KGS:: MC - Consultant/AM :: IT Strategy,Our range of services include delivery of client engagements in the. Building effective IT Governance frameworks to align IT and business. Directly related to the CIO and ...
834981691,https://www.linkedin.com/jobs/view/834981691/,KGS:: MC::Associate Consultant:: Mulesoft Developer,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
829983567,https://www.linkedin.com/jobs/view/829983567/,GDC-Senior Associate-Testing| Data Solutions,Excellent written and oral communication skills. Be the single point of contact for stakeholders throughout the testing process; utilize the central database to provide daily ...
692177075,https://www.linkedin.com/jobs/view/692177075/,KGS-MC - Consultant - Oracle Technical Financials,"Hands-on experience in Oracle Cloud Financial Modules (AP, AR, GL, PA, FA, PO and Cash Management) Hands-on experience in Fusion Reporting technologies like BI Publisher, OTBI &amp;..."
