Url,Case_id,Case_title,Appellant,Respondent,Intervener
http://www.bailii.org/uk/cases/UKSC/2015/56.html,UKSC 2015 56,John Mander Pension Trustees Limited (Appellant)  Commissioners for Her Majesty's Revenue and Customs (Respondent),"Andrew Thornhill QC,Jeremy Woolf,(Instructed by Ansons LLP)","Akash Nawbatt,     ,(Instructed by HMRC Solicitors Office)",
http://www.bailii.org/uk/cases/UKSC/2016/30.html,UKSC 2016 30,"Brown and another, the Joint Administrators of
Loanwell Limited (Respondents) ,v, Stonegale Limited (Appellant)
(Scotland),
,Brown and another, the Joint Administrators of
Oceancrown Limited (Respondents) ,v, Stonegale Limited (Appellant)
(Scotland),
,Brown and another, the Joint Administrators of
Questway Limited (Respondents) ,v, Pelosi (Appellant) (Scotland)","Alan Summers QC,David Massaro,(Instructed by
  Halliday Campbell WS)","Kenneth McBrearty
  QC,Susan Ower,(Instructed by
  Pinsent Masons LLP)",
http://www.bailii.org/uk/cases/UKSC/2014/50.html,UKSC 2014 50,"Robertson (Appellant) , Swift (Respondent)",,,
http://www.bailii.org/uk/cases/UKSC/2010/47.html,UKSC 2010 47,"Multi-Link Leisure Developments Limited (Appellant) , North Lanarkshire Council (Respondent) (Scotland)","Stuart Gale QC,William Frain-Bell,(Instructed by Anderson Fyfe LLP)","James Mure QC,James Findlay,(Instructed by Dundas & Wilson CS LLP)",
http://www.bailii.org/uk/cases/UKSC/2013/40.html,UKSC 2013 40,"Cusack (Respondent) , London Borough of Harrow (Appellant) ,Footways and guard-rails etc for publicly maintainable highways,Power to fence highways","Stephen Sauvain QC,Tom Weekes,(Instructed by Sharpe Pritchard)","Patrick Green QC,Noel Dilworth,(Instructed by Patrick J Cusack & Co)",
http://www.bailii.org/uk/cases/UKSC/2010/14.html,UKSC 2010 14,"RTS Flexible Systems Limited (Respondents) , Molkerei Alois Müller Gmbh & Company KG (UK Production) (Appellants)  ,Project: Build, delivery, complete installation and commissioning by RTS … of the Automated Pot Mixing Lines 1 & 2 and the De-Palletising Cell ('the Equipment') for the Repack line ('Repack Line') within the Repack facility in Market Drayton of … Müller …","Kenneth MacLean QC,Michael Fealy,(Instructed by Pinsent Masons LLP)","Stuart Catchpole QC,Charles Manzoni QC,(Instructed by Addleshaw Goddard LLP)",
http://www.bailii.org/uk/cases/UKSC/2013/56.html,UKSC 2013 56,"R , Hughes (Appellant)","Robert Smith QC,C J Knox,(Instructed by John Donkin Solicitors)","John Price QC,Sarah Whitehouse,(Instructed by CPS Appeals Unit)",
http://www.bailii.org/uk/cases/UKSC/2010/26.html,UKSC 2010 26,"Secretary of State for the Home Department (Respondent) , AP (Appellant) (No. 2)","Edward Fitzgerald QC,Kate Markus,(Instructed by Wilson Solicitors LLP)","Robin Tam QC,Tim Eicke,Rory Dunlop,(Instructed by Treasury Solicitor)",
http://www.bailii.org/uk/cases/UKSC/2010/25.html,UKSC 2010 25,"MS (Palestinian Territories) (FC) (Appellant) , Secretary of State for the Home Department (Respondent)  ,Palestine National Authority","Stephen Knafler QC,Duran Seddon,(Instructed by Refugee and Migrant Justice )","Tim Eicke,John-Paul Waite,(Instructed by Treasury Solicitors)",
http://www.bailii.org/uk/cases/UKSC/2010/43.html,UKSC 2010 43,"Cadder (Appellant) , Her Majesty's Advocate (Respondent) (Scotland)","Chris Shead,Martin Richardson,Anthony J McGlennan,(Instructed by The Barony Law Practice)","Elish Angiolini QC, the Lord Advocate,W James Wolffe QC,Simon Collins,Gordon Balfour,(Instructed by The Crown Agent),Alan Summers QC,Eugene Creally,(Instructed by Office of the Solicitor to the Advocate General for Scotland)","Alan Summers QC,Eugene Creally,(Instructed by Office of the Solicitor to the Advocate General for Scotland),Aidan O'Neill QC,Jodie Blackstock,(Instructed by Herbert Smith LLP who were assisted by Taylor & Kelly )"
