Case title,Jurisdiction of Origin,UNCAC Offenses Implicated,Money laundering Implicated,Legal Basis for Asset Recovery,Contributing Factors in Asset Recovery,Assets Adjudicated/Not Yet Returned (USD),Case Summary,Disposition of Criminal Case(s)
Diezani Alison-Madueke,"Economic and Financial Crimes Commission (EFCC). 
According to media reports, the Central Bank of Nigeria announced in May 2016 that it was participating in the investigation into corruption targeting the former oil minister.","Art.16, Art.23",Yes,Actions Initiated by Foreign Jurisdictions,,,"In a 2017 civil forfeiture complaint, the U.S. DOJ alleges that from 2011 to 2015, Nigerian businessmen Kolawole Akanni Aluko and Olajide Omokore conspired with others to pay bribes to Nigeria’s former Minister for Petroleum Resources, Diezani Alison-Madueke, who oversaw Nigeria’s state-owned oil company. Diezani Alison-Madueke, a former President of OPEC, allegedly used her influence to steer lucrative oil contracts to two Nigerian shell companies set up and controlled by Aluko and Omokore.
The U.S. Department of Justice seeks recovery of $144 million in assets connected to Diezani Alison-Madueke, Kolawole Aluko, and Olajide Omokore, which it says are the proceeds of corruption in Nigeria. The assets subject to forfeiture include a $50 million condominium in One57 - 157 W. 57th Street - one of Manhattan’s most expensive buildings, and an $80 million yacht, known as Galactica Star.
The U.S. government further alleges that Aluko, Omokore and others funded a lavish lifestyle for Alison-Madueke, conspiring to purchase millions of dollars in real estate in and around London for Alison-Madueke and her family members, then renovated and furnished these homes with millions of dollars in furniture, artwork and other luxury items purchased at two Houston-area furniture stores at Alison-Madueke’s direction. Aluko and Omokore also laundered proceeds into and through the U.S, and used it to purchase U.S. real estate. During the period from March 2012 through January 2015, Aluko purchased more than $87 million dollars’ worth of real property in the United States and an $82 million luxury yacht, according to the DOJ complaint.","According to the U.S. DOJ’s civil forfeiture complaint, in return for the bribes, Alison-Madueke allegedly used her influence as Petroleum Minister to direct a subsidiary of the Nigerian National Petroleum Corporation to award contracts to two shell companies created by Aluko and Omokore: Atlantic Energy Drilling Concepts Nigeria Ltd. and Atlantic Energy Brass Development Ltd, in 2011 and 2012. The companies were incorporated in Nigeria in 2010 and 2013 respectively, and were both owned by holding companies incorporated in the British Virgin Islands, beneficially owned by Aluko and Omokore. Omokore acted as a registered director of both Nigerian companies.
Under the contracts, the two companies were required to finance the exploration and production operations of eight on-shore oil and gas blocks. However, according to the DOJ complaint, the companies provided only a fraction of the agreed upon financing or, in some instances, failed entirely to provide it. The companies also failed to meet other contractual obligations, including the payment of a $120 million entry fee. Nevertheless, the companies were allegedly permitted to lift and sell more than $1.5 billion worth of Nigerian crude oil.
A February 2014 report prepared by the then-governor of the Central Bank of Nigeria determined that Atlantic Energy Drilling Concepts Nigeria Ltd “had neither the technical expertise nor the capital to develop the joint venture, but [was] none-the-less able to lift crude and retain the proceeds . . . up to 70% of the profit of the Joint Venture.” The report concluded that the arrangement was set up “for the purpose of acquiring assets belonging to the [Federal Republic of Nigeria] and transferring the income to private hands.”
Atlantic Energy Brass Development Ltd allegedly sold $811 million worth of crude oil over the course of one year to a UK subsidiary of Glencore, “despite failing to meet any obligations” under its contract with the Nigerian state-owned oil company, according to the DOJ.
In addition to the Nigerian companies and its BVI holding companies, the conspirators also set up a number of other BVI-registered companies and at least three companies incorporated in the Seychelles that were used by Aluko and Omokore to purchase real estate in the United Kingdom, allegedly for the benefit of Alison-Madueke. The $82 million yacht was bought by a company incorporated in the British Virgin Islands that was controlled and beneficially owned by Kolawore Aluko; the sale was brokered by a financial and corporate services company based in Guernsey. At least three companies incorporated in U.S. states – Nevada, Delaware, and California – were used by conspirators to spend corrupt funds at a furniture store in Houston, pay for transportation services, and purchase a property in Santa Barbara, California.
Alison-Madueke is also under investigation by the National Crime Agency in the U.K., where she currently resides, for corruption and money laundering. In Nigeria, the former Petroleum minister is under investigation by the Economic and Financial Crimes Commission (EFCC) for diverting money from the Nigerian National Petroleum Corporation, (NNPC), but as of September 2017, no charges had been filed against her related to this case. She has been charged for money laundering in connection to a separate election-bribery case. Local Nigerian media reports say that EFCC recently blocked her application to travel to Nigeria and join the trial against her associate Omokore as a defendant, arguing that it was a ploy to escape prosecution in the U.K."
1Malaysia Development Berhad (1MDB) (United States),"Malaysian Anti-Corruption Commission (referenced in the FBI's press release, 20 July 2016)","Art.17, Art.23",Yes,Actions Initiated by Foreign Jurisdictions,Ongoing case,$30 million,"Members of an international conspiracy allegedly diverted “more than $4.5 billion” in state funds from 1Malaysia Development Berhad (1MDB), a state investment fund wholly owned by the government of Malaysia, according to a series of civil forfeiture complaints filed in 2016 and 2017 under the U.S. DOJ Kleptocracy Asset Recovery Initiative. The United States is seeking to recover “almost $1.7 billion” of 1MDB funds that were allegedly laundered through the United States and are traceable to the conspiracy in “the largest single action ever brought under the [U.S. DOJ’s] Kleptocracy Asset Recovery Initiative.” In August 2017, the U.S. DOJ asked for a stay of the civil forfeiture cases pending the conclusion of a related federal criminal investigation.
The DOJ complaints allege that “using fraudulent documents and representations, the co-conspirators allegedly laundered the funds through a series of complex transactions and fraudulent shell companies with bank accounts located in the Singapore, Switzerland, Luxembourg and the United States. These transactions were allegedly intended to conceal the origin, source and ownership of the funds, and were ultimately processed through U.S. financial institutions and were used to acquire and invest in assets located in the United States.”
U.S. assets that were allegedly purchased with diverted 1MDB funds and are subject to forfeiture actions include high end real estate and hotel properties in New York, Los Angeles, and London; a $35 million jet airplane; a 300-foot luxury yacht; works of art by Vincent Van Gogh, Pablo Picasso, and Claude Monet; a substantial interest in the music publishing rights of EMI Music; the production of the 2013 film The Wolf of Wall Street; shares in Tech company Palantir and fitness company Flywheel; gambling expenses at Las Vegas casinos; and over $27.3m worth of diamond jewelry.
As of June 2018, U.S. authorities have frozen or restrained over $1.6 billion in assets related to this case. These assets are subject to ongoing, active litigation. Around $30 million in assets forfeited by U.S. authorities have been fully adjudicated. The restrained assets are located in the United States, Switzerland, Indonesia, Singapore, and London.
Prosecutors portray a Malaysian national called Jho Low as the mastermind of the complex embezzlement scheme. Although he held no official position with 1MDB, he de facto conducted extensive business for the state fund and set up a myriad of opaque shell companies around the world through which 1MDB funds were diverted and ultimately channeled into the United States, for the personal benefit of members of the conspiracy. Other conspirators allegedly implicated include a group of high-ranking Malaysian officials at 1MDB, two high-ranking UAE officials at an investment fund owned by Abu Dhabi government (Khadem Abdulla Al-Qubaisi and Mohamed Ahmed Badawy Al-Husseiny), and two Saudi nationals affiliated with a little-known Saudi oil company (PetroSaudi International). Malaysia’s former prime minister Najib Razak and his stepson Riza Aziz are allegedly implicated in the scheme and benefitted from diverted 1MDB funds, with Razak receiving funds totaling approximately $681 million directly into a bank account in his name, according to the U.S. DOJ’s forfeiture complaints. One of the conspirators, Al-Husseiny, served as chairman of Falcon Bank, a private bank in Singapore and Switzerland, that was allegedly extensively used for moving and laundering funds in the scheme.
To divert funds from the 1MDB fund, disguise their origin, disguise the identity of the conspirators, and launder funds into the United States, prosecutors claim that the members of the conspiracy set up a vast network of corporate vehicles in offshore secrecy jurisdictions around the world. Corporate vehicles employed in this scheme were incorporated in jurisdictions including Seychelles, British Virgin Islands, Hong Kong, United Arab Emirates, Curaçao, Malaysia, Cayman Islands, Luxembourg, and the United States (New York, Delaware). The diverted funds were allegedly transferred through bank accounts belonging to these companies in, among others, Singapore, Switzerland, USA, Netherlands, Luxembourg, Germany, and Barbados, with a majority of the money at some point passing through Singapore accounts, according to the forfeiture complaints.
Prosecutors further claim that several corporate vehicles were deceptively named to mimic an affiliation with a genuine, operational entity that 1MDB was doing business with or to mimic an affiliation with well-known global financial service companies, when in fact no such affiliation existed. Two shell companies, both called “Aabar Investments PJS Ltd”, one registered in BVI and the other in the Seychelles, were named to give the impression that the CV was associated with Aabar Investments PJS, a legitimate subsidiary of Abu Dhabi investment company IPIC, which entered into a joint venture agreement with 1MDB. “Blackstone Asia Real Estate Partners Ltd”, “Affinity Equity International Partners Limited”, “Vista Equity International Partners Ltd” were all named to mimic well-known global financial service companies. Also of note is the alleged use of an Interest on Lawyer Account (IOLA) and another attorney trust account held by U.S. law firms to launder diverted funds into the U.S. by purchasing real estate assets. Transfers totaling $368 million were made directly from an account of a Seychelles shell company to an IOLA account of a U.S. law firm.
The U.S. DOJ forfeiture complaints outline four distinct phases of the complex corruption scheme, named after key corporate vehicles that were employed: (1) the “Good Star” Phase, 2009-2011; (2) the “Aabar-BVI” Phase, 2012; (3) the “Tanore” Phase, 2013; and (4) the “Options Buyback” Phase, 2014.
During the “Good Star” Phase, 1MDB officials entered a joint venture agreement with PetroSaudi International, a little-known Saudi oil company founded in 2005 by a son of the late King Abdullah, for the stated purpose of exploiting certain energy concessions in Turkmenistan and Argentina. Under the terms of the agreement, 1MDB agreed to invest $1 billion in the newly created joint venture in exchange for a forty percent equity interest. 1MDB only transferred US$300 million into the account of the “legitimate” joint venture company and allegedly diverted US$700 million into a bank account at RBS Coutts, Switzerland, that was held by Good Star Limited, a Seychelles-registered corporate vehicle beneficially owned by Jho Low. Conspirators made false representations to banks that Good Star was a wholly-owned subsidiary of PetroSaudi.
During the “Aabar-BVI” Phase, 1MDB raised additional funds through two separate bond offerings arranged and underwritten by Goldman Sachs. The bonds were guaranteed by both 1MDB and International Petroleum Investment Company (IPIC), an investment fund wholly-owned by the government of Abu Dhabi in the United Arab Emirates. 1MDB officials allegedly caused approximately $1.367 billion (40% of the bond proceeds) to be wire transferred to a Swiss bank account belonging to a British Virgin Islands entity that was deceptively named to mimic a legitimate subsidiary of IPIC.
During the “Tanore” Phase, several individuals, including 1MDB officials, allegedly diverted more than $1.26 billion out of a total of $3 billion in principal that 1MDB raised through a third bond offering arranged by Goldman Sachs in March 2013, via two bank accounts in Singapore held by a BVI-registered company.
During the “Options Buyback” phase, an additional $850 million in 1MDB funds was allegedly misappropriated under the guise of paying an IPIC subsidiary to relinquish certain options 1MDB had given in return for IPIC’s guarantee of the 2012 bonds. To fund this options buyback, 1MDB borrowed a total of $1.225 billion from a syndicate of banks led by Deutsche Bank in Singapore, of which more than $850 million was allegedly diverted via two companies incorporated in BVI and in the Seychelles.","In August 2017, the U.S. DOJ asked for a temporary stay of the civil forfeiture cases related to the 1MDB case, pending conclusion of related federal criminal investigations. In an affidavit supporting the government's motion to stay the forfeiture cases, a FBI special agent wrote: ""The related criminal investigation is global in scope because the underlying crimes were committed over several years in numerous jurisdictions. Perpetrators, which includes both entities and individuals acting in individual and representative capacities, are believed to have committed violations of both U.S. and foreign laws. A significant amount of the evidence and witnesses with knowledge of these violations are located in foreign jurisdictions, and will take time to pursue."" The FBI agent warned that any further disclosure of information in the civil cases would risk revealing ""potential targets and subjects of the investigation and the investigative techniques that have been and will be used in the investigation."" No further information about the criminal cases is publicly available, as of June 2018. "
Teodoro Nguema Obiang Mangue (11 luxury cars seized in Geneva),,"Art.16, Art.17, Art.19, Art.23",Yes,Actions Initiated by Foreign Jurisdictions,Ongoing Case,,"In November 2016, Swiss authorities seized 11 luxury cars as part of criminal proceedings opened against Teodoro Nguema Obiang Mangue, the son of Equatorial Guinea’s longtime leader, on suspicions of money laundering. The prosecutor’s office said in an e-mailed statement to Reuters: “The Geneva public prosecutor confirms the opening of criminal proceedings against Teodorin Obiang. The latter is accused of money laundering.” “As part of the procedure, 11 vehicles were effectively sequestered in the cargo area of ​​Geneva airport on behalf of the prosecution.""
The cars seized by the Geneva police were a Bugatti Veyron, four Ferraris including an Enzo and 599GTB, a Porsche 918 Spyder, a Lamborghini Veneno, a Maybach, a Koenigesegg, an Aston Martin and a McLaren P1, the Geneva prosecutor’s office said. According to media reports, the Bugatti Veyron is worth $2 million and the Swedish-made Koenigegg One is one of only seven ever produced for $2.8 million. The total value of the 11 cars has not been reported - but the value of only two of the 11 cars (Bugatti Veyron & Koenigegg One) totals $4.8 million. Media reports estimate the total value to be ""more than $8 million"".
Equatorial Guinea filed a legal challenge to the seizure, arguing that the cars do not belong to Obiang but to a state company and were only in Geneva for repairs. In July 2017, the Swiss Federal Court rejected the request from the government of Equatorial Guinea to release the luxury cars. ",
"Teodoro Nguema Obiang Mangue (""Ebony Shine"" yacht)",,"Art.16, Art.17, Art.19, Art.23",Yes,Actions Initiated by Foreign Jurisdictions,Ongoing Case,,"According to a Dutch court order (ECLI: NL: RBOVE: 2017: 1630), on 2 December 2016, the Public Prosecutor's Office in Geneva, Switzerland, submitted a request for legal assistance to the Dutch Public Prosecution Service, Zwolle location. The reason for this request was the start of an investigation by the Public Prosecution Service in Geneva on 31 October 2016 against Obiang, Vice President of Equatorial Guinea and son of the President, in connection with money laundering. According to the Public Prosecutor's Office in Geneva, the defendant bought a yacht, Ebony Shine, that was docked in (near) Makkum at the time of the start of the investigation. The Swiss prosecution had a strong suspicion that the yacht was bought through acts of misconduct in a public office and bribery, with funds from Equatorial Guinea, that the defendant uses the yacht exclusively for private purposes and that jure imperii activities of the state of Equatorial Guinea are not involved. The Geneva Public Prosecutor requested that the yacht be seized.
On December 2, 2016, at the request of the Swiss authorities, the Dutch authorities seized Mr. Obiang’s 250-foot, $120 million yacht, “Ebony Shine,” as it was about to sail to Equatorial Guinea. Mr. Obiang has denied ownership of the yacht, and the government of Equatorial Guinea started legal proceedings in Zwolle, Netherlands to release and return the yacht to the government of Equatorial Guinea. Government lawyers argued in a Dutch court that the yacht belonged to his country’s government and was used for defense purposes. In April 2017, the yacht was placed in sequestration in Den Helder port after a judge in Zwolle ruled that the vessel be held by the Dutch Public Prosecution Service (openbaar ministerie) while its owner is investigated under charges of corruption in Switzerland and France.
By a letter of 5 December 2016, the Public Prosecution Service in Geneva additionally requested to seize all available private and public documents relating to the Ebony Shine.  On the basis of a decision of 6 December 2016 of the examining magistrate, the Ebony Shine was searched on 8 December 2016, in which a number of goods were seized.
During the proceedings, it was revealed that the yacht is formally owned by a company Named Dara Ltd, registered in the Marshall Islands. Lawyers representing Equatorial Guinea in the Dutcg court stated that Dara Ltd is owned 100% by the Ministry of Defense of Equatorial Guinea. The vessel, built by Feadship in Makkum, has two jaccuzis, a spa, a pool and gym, a helipad, several jetskis and a cinema seating 12.
Swiss prosecutors had opened their investigation into Obiang in 2016. in July 2017, a Swiss Federal Court turned down a demand by the government of Equatorial Guinea to release the impounded yacht, which is moored in the Netherlands. 
Eleven luxury cars were seized at Geneva airport in October/November 2016 as part of the same investigation - see ARW-253",
Family of former President Sani Abacha,,"Art.16, Art.17, Art.19, Art.20, Art.23",Yes,Actions Initiated by Foreign Jurisdictions,,,"The Federal Government of Nigeria, the Swiss Federal Council and the World Bank signed a Memorandum of Understanding (MOU) on the repatriation and monitoring of $321 million of funds illicitly acquired by the family of the late former President of Nigeria, General Sani Abacha on 04 December 2017. The MOU was signed during the Global Forum on Asset Recovery, a three-day forum hosted by the United Kingdom and the United States with support from the Stolen Asset Recovery (StAR) Initiative. It was signed by Nigeria’s Attorney-General and Minister of Justice, Mr. Abubakar Malami; Switzerland’s Secretary of State and Head of the Directorate of International Law at the Federal Department of Foreign Affairs, Ambassador Roberto Balzaretti; and the World Bank’s country director for Nigeria, Rachid Benmessaoud.
The MOU captures the tripartite agreement on the World Bank’s monitoring role and the proposed modalities of the funds repatriation and disbursement. The signing of the MOU followed a December 2014 Swiss court order that the funds be repatriated, on the condition that the World Bank would monitor their use.
This MOU followed through on a Letter of Intent that was signed by Nigeria and Switzerland in March 2016 in Abuja, aimed at regulating the return to Nigeria of assets totaling USD 321 million stolen by Nigeria's former dictator Sani Abacha. The letter of intent was signed by the Swiss Foreign Minister Didier Burkhalter and Nigeria’s Attorney-General and Minister of Justice, Mr. Abubakar Malami.
This return of stolen assets was made possible after the Attorney General of the Canton of Geneva confiscated these assets, which had originally been deposited in bank accounts in Luxembourg, pursuant to a forfeiture order dated 11 December 2014. 
The Nigerian authorities requested the funds be used to support a program of targeted cash transfers to poor and vulnerable Nigerians under the National Social Safety Net Project financed by a credit extended by the World Bank. The responsibility for the use of the funds is with the Federal Government of Nigeria. The World Bank’s role is to provide institutional support and monitoring of the use of these funds. According to the World Bank’s press release, the parties have agreed to establish monitoring framework for the use of the repatriated funds that will enhance transparency and accountability. To that end, the Federal Government of Nigeria will engage civil society organizations to help monitor the use of the funds.
According to media reports, Nigeria’s minister of finance Kemi Adeosun through her special advisor Oluyinka Akintunde confirmed the receipt of money from Switzerland in December 2017, with $1.5 million in interest. Akintunde said: ""We state that $322,515,931.83 (N116,105,735,458.80) was received into a Special Account in the Central Bank of Nigeria (CBN) on Dec. 18, 2017, from the Swiss government"".
In 2006, the World Bank was involved in a similar framework, providing institutional support for the return and use of approx. $723 million in public funds that had been corruptly diverted by General Abacha. See case entry ARW-167 and the attached World Bank Fact Sheet. ",
"Unnamed Uzbek ""Government Official A""/ Mobile Telesystems and Vimpelcom Telecom Case (Luxembourg)",,Art.16,,Non-Conviction Based Forfeiture (in US),Ongoing Case,,"See related entry, civil asset forfeiture actions by the United States.  In one of the two civil asse forfeiture actions filed against assets related to unnamed Uzbek official and VimpelCom bribery case, including assets held in accounts in Luxembourg, at Clearstream Banking SA.  (Source:  US v. Any and all assets held in account numbers ... at Bank of New York Mellon SA/NV, Brussels, Belgium, on behalf of First Global Investments SPC Limited, et al, Case No. 15-cv-05063 (SDNY), Verified Complaint filed on June 29, 2015 and Partial Default Judgment and Order of Forfeiture filed January 11, 2016; Court Docket Report as of June 27, 2016.)","According to the US Department of Justice complaint filed in the case, Gayane Avakyan and Rustan Madumarov, close associates of ""Government Official A"" were arrested in 2014 and subsequently convicted and of multiple criminal offenses in relation to the case and sentenced to prison terms.  (Source:  US v. Any and all assets held in account numbers ... at Bank of New York Mellon SA/NV, Brussels, Belgium, on behalf of First Global Investments SPC Limited, et al, Case No. 15-cv-05063 (SDNY), Verified Complaint filed on June 29, 2015, paragraphs 18-19; See also, US v. All Assets Held in Accounts [by First Global Accounts, Case No. 15-cv-05063 (SDNY), January 26, 2016."
"Unnamed Uzbek ""Government Official A""/ Mobile Telesystems and Vimpelcom Telecom Case (Ireland)",,Art.16,,Non-Conviction Based Asset Forfeiture (in US),Ongoing Case,,"See related entry, civil asset forfeiture actions by the United States.  In one of the two civil asset forfeiture actions filed against assets related to unnamed Uzbek official and VimpelCom bribery case, including assets held in Ireland at Bank of New York Mellon Investment Servicing (International) Limited held by or benefit of SWISDORN Limited, Takilant Limite and Expoline Limited and other portfolio funds. (Source: US v. Any and all assets held on Behalf of Global Investments SPC Limited, et al, Case No. 15-cv-05063 (SDNY), Verified Complaint filed on June 29, 2015 and Partial Default Judgment and Order of Forfeiture filed January 11, 2016; Court Docket Report as of June 27, 2016.)","According to the US Department of Justice complaint filed in the case, Gayane Avakyan and Rustan Madumarov, close associates of ""Government Official A"" were arrested in 2014 and subsequently convicted and of multiple criminal offenses in relation to the case and sentenced to prison terms.  (Source:  US v. Any and all assets held in account numbers ... at Bank of New York Mellon SA/NV, Brussels, Belgium, on behalf of First Global Investments SPC Limited, et al, Case No. 15-cv-05063 (SDNY), Verified Complaint filed on June 29, 2015, paragraphs 18-19; See also, US v. All Assets Held in Accounts [by First Global Accounts, Case No. 15-cv-05063 (SDNY), January 26, 2016."
"Unnamed Uzbek ""Government Official A""/ Mobile Telesystems and Vimpelcom Telecom Case (Belgium)",,Art.16,,Non-Conviction Based Forfeiture (in US),,,"See related entry, civil asset forfeiture actions by the United States.  In one of the two civil asset forfeiture actions filed against assets related to unnamed Uzbek official and VimpelCom bribery case, including assets held in accounts at Bank of New York Mellon SA/NV in Brussels, Belgium on behalf of First Global Investments SPC Limited Funds. (Source:  US v. Any and all assets held in account numbers ... at Bank of New York Mellon SA/NV, Brussels, Belgium, on behalf of First Global Investments SPC Limited, et al, Case No. 15-cv-05063 (SDNY), Verified Complaint filed on June 29, 2015 and Partial Default Judgment and Order of Forfeiture filed January 11, 2016; Court Docket Report as of June 27, 2016.)","According to the US Department of Justice complaint filed in the case, Gayane Avakyan and Rustan Madumarov, close associates of ""Government Official A"" were arrested in 2014 and subsequently convicted and of multiple criminal offenses in relation to the case and sentenced to prison terms.  (Source:  US v. Any and all assets held in account numbers ... at Bank of New York Mellon SA/NV, Brussels, Belgium, on behalf of First Global Investments SPC Limited, et al, Case No. 15-cv-05063 (SDNY), Verified Complaint filed on June 29, 2015, paragraphs 18-19; See also, US v. All Assets Held in Accounts [by First Global Accounts, Case No. 15-cv-05063 (SDNY), January 26, 2016."
Jose Luis Ramos Castillo / Petroleos de Venezuela S.A. (PDVSA),,Art.16,,Criminal Forfeiture (by the United States),,,"According to the Information filed in his case, Mr. Ramos, a resident of Venezuela and then Texas, was employed by the Venezulan state-owned oil company Petroleos de Venezuela S.A. or its affiliates from 2002 to 2013.  During that time he held various positions related to purchasing including as Superintendent of Purchasing and Purchasing Manager with responsibility for selecting companies for bidding panels.  (US v. Jorge Luis Ramos Castillo, Case No. 15-cr-636 (SD Tex), Information filed November 24, 2015.)   As of June 2016, three US based businessmen and three former employees of PDVSA have pleaded guilty to various charges relating to a scheme in which the businessmen paid bribes in order to win contracts at the state-owned oil company.  (Source: US Department of Justice, ""Businessman Pleads Guilty to Foreign Bribery and Tax Charges in Connection with Venezuela Bribery Scheme,"" June 16, 2016.)  In April 2016, a  supplement to notice of forfeiture was filed against four real properties in Miami-Dade County, Florida and funds (unspecified amount) held in deposit in an account at Royal Skandia Life Assurance Limited, held at Isle of Man.  (Source:  US v. Ramos Castillo, Case No. 15-cr-636 (SD Tex), United States Supplement to Notice of Forfeiture in the Information, filed April 29, 2016.)","According to the Court Docket Report in his case, Mr. Ramos pleaded guilty to 2 counts of conspiracy and awaits sentencing scheduled for September 30, 2016. (Source: US v. Jose Luis Ramos-Castillo, Case No. 15-cr-636 (SDTEX), Court Docket Report as of June 23, 2016.)"
"Janet Lim Napoles / Arthur Pingoy, and many others / Philippines Development Assistance Fund (PDAF) Case",Office of the Ombudsman,"Art.15, Art.17, Art.23",,Non-Conviction Based Confiscation ,Ongoing case,,"According to the US Department of Justice, from 2004-2012 Philippines businesswoman Janet Lim-Napoles paid tens of million dollars in bribes and kickbacks to Philippines politicians and other government officials, in exchange for over $200 million in purported development and disaster relief. In July 2015, the DOJ Kleptocracy Asset Recovery Initiative filed a civil asset forfeiture complaint to recover approximately $12.5 million in assets (mainly real properties in Los Angeles and Orange counties) allegedly derived from the kickback scheme which were funnelled through her non-governmental organizations.  Accordind to the DOJ Press Release, ""The complaint alleges that Napoles transferred over $12 million in Philippine government awarded funds to bank accounts in the United States in the names of, or controlled by, her family members. According the complaint, Napoles used the money to purchase numerous assets, including a condominium at the Ritz-Carlton in Los Angeles for her 21 year-old daughter. The complaint seeks to forfeit the proceeds from the sale of the Los Angeles condominium, along with several other assets, including a motel near Disneyland in Anaheim, California; properties in Covina and Irvine, California; a 19 percent stake in a California-based consulting company; and a Porsche Boxster that was purchased for another daughter."" (Source: US DOJ Press Release, ""U.S. Seeks to Recover $12.5 Million Obtained from High Level Corruption in the Philippines,"" July 14, 2015; See also US v. Proceeds from the sale of a condominium located at Ritz-Carlton in Los Angeles, et al, Case No. 8:15-cv-1110 (CDCA), First Amended Verified Complaint of Forfeiture filed March 21, 2016).  As of June 21, 2016, a settlement conference was scheduled for December 14, 2016.  ","According to the US Department of Justice, Janet Lim Napoles is serving a sentence of life imprisonment in the Philippines for her role in the kidnapping and detention of her cousin, Benhur Luy, ""who served as Napoles’s finance officer and tracked her schemes.""  (Source: DOJ Press Release, ""U.S. Seeks to Recover $12.5 Million Obtained from High Level Corruption in the Philippines,"" July 14, 2015.)   According to the Philippines Office of the Ombudsman, on May 6, 2016, ""Ombudsman Conchita Carpio Morales has affirmed the indictment of ex-Representative Arthur Pingoy of the second district of South Cotabato for Malversation of Public Funds, violation of Section 3(e) of the Anti-Graft and Corrupt Practices Act (RA 3019) and Direct Bribery for the misappropriation of his 2007-2008 Priority Development Assistance Fund (PDAF) totaling P20.91M.  In a 36-page Order, Ombudsman Morales directed the filing of Informations against Pingoy with the Sandiganbayan for 2 counts of Direct Bribery and 4 counts each of Malversation and violation of the anti-graft law.  Charged alongside Pingoy are Technology Resource Center (TRC) officials Antonio Ortiz, Dennis Cunanan, Francisco Figura and Marivic Jover, Department of Budget and Management officials Mario Relampagos, Rosario Nuñez, Marilou Bare and Lalaine Paule, National Agribusiness Corporation (NABCOR) officials Alan Javellana, Rhodora Mendoza, Maria Ninez Guanizo and Victor Cacal, Philippine Social Development Foundation, Inc. (PSDFI) employees Evelyn de Leon, Noel Macha, John Raymund De Asis and John Bernardo, together with Janet Lim Napoles and former Energy Regulatory Commission Chairperson Zenaida Ducut.""  (Source: Office of the Ombudsman Press Release, ""Ombudsman charges ex-Rep. Pingoy, Napoles for PDAF scam,"" May 6, 2016.)"
